"Date","Sponsored followers","Organic followers","Auto-invited followers","Total followers","Follower Count","Month/Yr"
"08/01/2023","0","2","0","2","3389","Aug 2023"
"08/02/2023","0","1","0","1","3390","Aug 2023"
"08/03/2023","0","1","0","1","3391","Aug 2023"
"08/04/2023","0","4","0","4","3395","Aug 2023"
"08/05/2023","0","0","0","0","3395","Aug 2023"
"08/06/2023","0","3","0","3","3398","Aug 2023"
"08/07/2023","0","4","0","4","3402","Aug 2023"
"08/08/2023","0","2","0","2","3404","Aug 2023"
"08/09/2023","0","6","0","6","3410","Aug 2023"
"08/10/2023","0","2","0","2","3412","Aug 2023"
"08/11/2023","0","6","0","6","3418","Aug 2023"
"08/12/2023","0","3","0","3","3421","Aug 2023"
"08/13/2023","0","0","0","0","3421","Aug 2023"
"08/14/2023","0","4","0","4","3425","Aug 2023"
"08/15/2023","0","6","0","6","3431","Aug 2023"
"08/16/2023","0","5","0","5","3436","Aug 2023"
"08/17/2023","0","4","0","4","3440","Aug 2023"
"08/18/2023","0","4","0","4","3444","Aug 2023"
"08/19/2023","0","4","0","4","3448","Aug 2023"
"08/20/2023","0","3","0","3","3451","Aug 2023"
"08/21/2023","0","1","0","1","3452","Aug 2023"
"08/22/2023","0","3","0","3","3455","Aug 2023"
"08/23/2023","0","1","0","1","3456","Aug 2023"
"08/24/2023","0","5","0","5","3461","Aug 2023"
"08/25/2023","0","-1","0","-1","3460","Aug 2023"
"08/26/2023","0","4","0","4","3464","Aug 2023"
"08/27/2023","0","3","0","3","3467","Aug 2023"
"08/28/2023","0","2","0","2","3469","Aug 2023"
"08/29/2023","0","3","0","3","3472","Aug 2023"
"08/30/2023","0","2","0","2","3474","Aug 2023"
"08/31/2023","0","3","0","3","3477","Aug 2023"
"09/01/2023","0","5","0","5","3482","Sep 2023"
"09/02/2023","0","4","0","4","3486","Sep 2023"
"09/03/2023","0","5","0","5","3491","Sep 2023"
"09/04/2023","0","3","0","3","3494","Sep 2023"
"09/05/2023","0","11","0","11","3505","Sep 2023"
"09/06/2023","0","1","0","1","3506","Sep 2023"
"09/07/2023","0","3","0","3","3509","Sep 2023"
"09/08/2023","0","0","0","0","3509","Sep 2023"
"09/09/2023","0","3","0","3","3512","Sep 2023"
"09/10/2023","0","3","0","3","3515","Sep 2023"
"09/11/2023","0","5","0","5","3520","Sep 2023"
"09/12/2023","0","7","0","7","3527","Sep 2023"
"09/13/2023","0","1","0","1","3528","Sep 2023"
"09/14/2023","0","4","0","4","3532","Sep 2023"
"09/15/2023","0","12","0","12","3544","Sep 2023"
"09/16/2023","0","3","0","3","3547","Sep 2023"
"09/17/2023","0","5","0","5","3552","Sep 2023"
"09/18/2023","0","12","0","12","3564","Sep 2023"
"09/19/2023","0","7","0","7","3571","Sep 2023"
"09/20/2023","0","8","0","8","3579","Sep 2023"
"09/21/2023","0","5","0","5","3584","Sep 2023"
"09/22/2023","0","5","0","5","3589","Sep 2023"
"09/23/2023","0","6","0","6","3595","Sep 2023"
"09/24/2023","0","3","0","3","3598","Sep 2023"
"09/25/2023","0","7","0","7","3605","Sep 2023"
"09/26/2023","0","3","0","3","3608","Sep 2023"
"09/27/2023","0","12","0","12","3620","Sep 2023"
"09/28/2023","0","5","0","5","3625","Sep 2023"
"09/29/2023","0","9","0","9","3634","Sep 2023"
"09/30/2023","0","1","0","1","3635","Sep 2023"
"10/01/2023","0","3","0","3","3638","Oct 2023"
"10/02/2023","0","4","0","4","3642","Oct 2023"
"10/03/2023","0","7","0","7","3649","Oct 2023"
"10/04/2023","0","4","0","4","3653","Oct 2023"
"10/05/2023","0","2","0","2","3655","Oct 2023"
"10/06/2023","0","9","0","9","3664","Oct 2023"
"10/07/2023","0","3","0","3","3667","Oct 2023"
"10/08/2023","0","1","0","1","3668","Oct 2023"
"10/09/2023","0","8","0","8","3676","Oct 2023"
"10/10/2023","0","9","0","9","3685","Oct 2023"
"10/11/2023","0","6","0","6","3691","Oct 2023"
"10/12/2023","0","4","0","4","3695","Oct 2023"
